date,close,return_1m,return_3m,return_6m,return_12m,volatility_60d,pct_from_52w_high
2021-01-01,407.3500061035156,,,,,,
2021-01-04,378.3500061035156,,,,,,
2021-01-05,365.1000061035156,,,,,,
2021-01-06,361.20001220703125,,,,,,
2021-01-07,365.45001220703125,,,,,,
2021-01-08,374.8999938964844,,,,,,
2021-01-11,369.70001220703125,,,,,,
2021-01-12,374.20001220703125,,,,,,
2021-01-13,374.54998779296875,,,,,,
2021-01-14,368.3500061035156,,,,,,
2021-01-15,361.8999938964844,,,,,,
2021-01-18,347.8500061035156,,,,,,
2021-01-19,344.70001220703125,,,,,,
2021-01-20,329.29998779296875,,,,,,
2021-01-21,313.6000061035156,,,,,,
2021-01-22,302.79998779296875,,,,,,
2021-01-25,294.04998779296875,,,,,,
2021-01-27,285.25,,,,,,
2021-01-28,277.79998779296875,,,,,,
2021-01-29,282.6499938964844,,,,,,
2021-02-01,302.75,,,,,,
2021-02-02,303.6000061035156,-0.25469497593093215,,,,,
2021-02-03,303.1499938964844,-0.19875779303266805,,,,,
2021-02-04,310.8500061035156,-0.14858942507006878,,,,,
2021-02-05,322.25,-0.10783502461430161,,,,,
2021-02-08,322.5,-0.1175263668692933,,,,,
2021-02-09,318.79998779296875,-0.1496399226909716,,,,,
2021-02-10,329.5,-0.10873684306106901,,,,,
2021-02-11,320.70001220703125,-0.14297166823821583,,,,,
2021-02-12,315.6000061035156,-0.1573888228826683,,,,,
2021-02-15,308.29998779296875,-0.16302434455144632,,,,,
2021-02-16,304.20001220703125,-0.15943626046580506,,,,,
2021-02-17,308.20001220703125,-0.11398589392200575,,,,,
2021-02-18,307.1499938964844,-0.10893535532570231,,,,,
2021-02-19,301.8500061035156,-0.08335858702403276,,,,,
2021-02-22,296.6499938964844,-0.054049782771484534,,,,,
2021-02-23,313.95001220703125,0.03682306758111897,,,,,
2021-02-24,304.75,0.03638841234900769,,,,,
2021-02-25,303.79998779296875,0.06503063205247583,,,,,
2021-02-26,298.20001220703125,0.07343421638040426,,,,,
2021-03-01,299.8999938964844,0.06102954315405906,,,,,
2021-03-02,300.3500061035156,-0.00792731262257429,,,,,
2021-03-03,300.20001220703125,-0.011198925652607272,,,,,
2021-03-04,300.20001220703125,-0.009731095988279814,,,,,
2021-03-05,297.25,-0.04375102408390086,,,,,
2021-03-08,296.0,-0.08145849495733126,,,,,
2021-03-09,296.1000061035156,-0.08186044619064925,,,,,
2021-03-10,297.1000061035156,-0.06806769924829881,,,,,
2021-03-12,293.1499938964844,-0.11031868316696702,,,,,
2021-03-15,285.70001220703125,-0.10913626026744705,,,,,
2021-03-16,282.3999938964844,-0.10519648784842472,,,,,
2021-03-17,279.45001220703125,-0.09357760858982256,,,,,
2021-03-18,270.95001220703125,-0.10930308568617297,,,,,
2021-03-19,263.5,-0.14503572497266592,,,,,
2021-03-22,264.04998779296875,-0.14032234074548344,,,,,
2021-03-23,267.3500061035156,-0.11429517741393935,,,,,
2021-03-24,264.3500061035156,-0.10888248258059896,,,,,
2021-03-25,255.9499969482422,-0.18474283485786747,,,,,
2021-03-26,252.0,-0.17309269893355206,,,,,
2021-03-30,247.64999389648438,-0.1848255304564036,,,,,
2021-03-31,241.89999389648438,-0.1887995171222846,,,,0.38311696884370605,
2021-04-01,252.8000030517578,-0.1570523234521436,,,,0.3756935929429427,
2021-04-05,258.75,-0.13850509491642293,,,,0.37582330524202573,
2021-04-06,257.20001220703125,-0.14323783561456116,-0.36860191885778026,,,0.37566724186983586,
2021-04-07,257.0,-0.14390409876878552,-0.32073478035127756,,,0.3740994799125076,
2021-04-08,262.25,-0.11774600504625732,-0.2817036548456121,,,0.3723115435419678,
2021-04-09,262.04998779296875,-0.11469598718591634,-0.27450171944410695,,,0.3720474883378019,
2021-04-12,247.0,-0.16582237450664028,-0.32412096935415635,,,0.38508202524393376,
2021-04-13,248.75,-0.16273983544338777,-0.33648971979262376,,,0.38580239644529185,
2021-04-15,248.60000610351562,-0.15196994276145204,-0.3275628945224375,,,0.38541344502075947,
