date,close,return_1m,return_3m,return_6m,return_12m,volatility_60d,pct_from_52w_high
2019-04-16,629.2271728515625,,,,,,
2019-04-18,618.4166259765625,,,,,,
2019-04-22,603.5699462890625,,,,,,
2019-04-23,609.3355712890625,,,,,,
2019-04-24,612.6028442382812,,,,,,
2019-04-25,614.620849609375,,,,,,
2019-04-26,619.4735717773438,,,,,,
2019-04-30,614.28466796875,,,,,,
2019-05-02,616.2063598632812,,,,,,
2019-05-03,616.7828979492188,,,,,,
2019-05-06,617.5997314453125,,,,,,
2019-05-07,623.2692260742188,,,,,,
2019-05-08,620.7708740234375,,,,,,
2019-05-09,620.4826049804688,,,,,,
2019-05-10,629.5635375976562,,,,,,
2019-05-13,629.3233032226562,,,,,,
2019-05-14,608.9993286132812,,,,,,
2019-05-15,596.4109497070312,,,,,,
2019-05-16,575.9427490234375,,,,,,
2019-05-17,572.4353637695312,,,,,,
2019-05-20,581.2279663085938,,,,,,
2019-05-21,581.4201049804688,-0.07597743697946058,,,,,
2019-05-22,585.9365844726562,-0.052521294123708095,,,,,
2019-05-23,578.3932495117188,-0.04171297284123898,,,,,
2019-05-24,581.516357421875,-0.04565499730851974,,,,,
2019-05-27,595.978515625,-0.027137204421491368,,,,,
2019-05-28,601.3117065429688,-0.02165423297121294,,,,,
2019-05-29,595.73828125,-0.03831525929224766,,,,,
2019-05-30,594.7293090820312,-0.031834359388103084,,,,,
2019-05-31,586.9937133789062,-0.047407245992813984,,,,,
2019-06-03,584.1588745117188,-0.0528938521900878,,,,,
2019-06-04,586.75341796875,-0.04994547747677236,,,,,
2019-06-06,580.795654296875,-0.06814642854240005,,,,,
2019-06-07,578.5372924804688,-0.06803409004877736,,,,,
2019-06-10,578.9698486328125,-0.06690398089236194,,,,,
2019-06-11,577.2881469726562,-0.0830343364936239,,,,,
2019-06-12,572.675537109375,-0.09001377483274142,,,,,
2019-06-13,571.2340698242188,-0.06201198755843573,,,,,
2019-06-14,572.7235717773438,-0.03971653763453409,,,,,
2019-06-17,565.7567749023438,-0.017685740706632647,,,,,
2019-06-18,569.0408325195312,-0.005929981732167522,,,,,
2019-06-19,565.66015625,-0.0267843444586221,,,,,
2019-06-20,569.76513671875,-0.02004569185324312,,,,,
2019-06-21,572.1314086914062,-0.02356087014719299,,,,,
2019-06-24,575.9467163085938,-0.004229878556138655,,,,,
2019-06-25,580.87255859375,-0.001107103557635547,,,,,
2019-06-26,590.9658203125,-0.008410865796467881,,,,,
2019-06-27,592.5113525390625,-0.014635261392965115,,,,,
2019-06-28,600.8176879882812,0.008526238615425896,,,,,
2019-07-01,621.3906860351562,0.04482943171957854,,,,,
2019-07-02,614.098388671875,0.04617540984714541,,,,,
2019-07-03,622.4048461914062,0.06547186621388956,,,,,
2019-07-04,625.1093139648438,0.06536970185683111,,,,,
2019-07-05,598.9826049804688,0.031313854621745296,,,,,
2019-07-08,580.3895874023438,0.0032016862974093563,,,,,
2019-07-09,590.53125,0.019968917888364635,,,,,
2019-07-10,592.9942626953125,0.027206717832368943,,,,,
2019-07-11,597.0509033203125,0.042564008118757934,,,,,
2019-07-12,596.03662109375,0.04341924366864802,,,,,
2019-07-15,594.4912719726562,0.03800734118164617,,,,,
2019-07-16,600.9625854492188,0.062227819636719195,,,,0.22109993968455613,
2019-07-17,605.4056396484375,0.06390544412761123,,,,0.21898738650287902,
2019-07-18,603.0874633789062,0.06616571224854817,,,,0.21347643273848024,
2019-07-19,593.283935546875,0.04127805882186575,-0.05712283076046787,,,0.21512895084794711,
