date,close,return_1m,return_3m,return_6m,return_12m,volatility_60d,pct_from_52w_high
2014-01-01,73.4468002319336,,,,,,
2014-01-02,70.96878814697266,,,,,,
2014-01-03,68.28765106201172,,,,,,
2014-01-06,66.50025177001953,,,,,,
2014-01-07,64.63155364990234,,,,,,
2014-01-08,65.80962371826172,,,,,,
2014-01-09,66.01274871826172,,,,,,
2014-01-10,65.28152465820312,,,,,,
2014-01-13,64.06282806396484,,,,,,
2014-01-14,63.372230529785156,,,,,,
2014-01-15,63.69722366333008,,,,,,
2014-01-16,63.41284942626953,,,,,,
2014-01-17,63.656593322753906,,,,,,
2014-01-20,62.92538070678711,,,,,,
2014-01-21,62.478519439697266,,,,,,
2014-01-22,62.27541732788086,,,,,,
2014-01-23,62.437896728515625,,,,,,
2014-01-24,61.462947845458984,,,,,,
2014-01-27,58.94430160522461,,,,,,
2014-01-28,59.513031005859375,,,,,,
2014-01-29,59.30992126464844,,,,,,
2014-01-30,58.45682907104492,-0.2040929096101215,,,,,
2014-01-31,60.08176040649414,-0.15340585664126105,,,,,
2014-02-03,59.025543212890625,-0.1356337156876316,,,,,
2014-02-04,59.025543212890625,-0.11240120688533617,,,,,
2014-02-05,59.269290924072266,-0.08296663816680783,,,,,
2014-02-06,61.1379508972168,-0.07098768473506045,,,,,
2014-02-07,60.85360336303711,-0.0781537726484246,,,,,
2014-02-10,61.38168716430664,-0.059738762449483285,,,,,
2014-02-11,61.66605758666992,-0.03741281098146054,,,,,
2014-02-12,61.01607131958008,-0.0371796793407434,,,,,
2014-02-13,59.39115524291992,-0.06760213668290727,,,,,
2014-02-14,60.0004997253418,-0.05381164435601171,,,,,
2014-02-17,62.92538070678711,-0.011486832357794796,,,,,
2014-02-18,64.55030059814453,0.0258229648053947,,,,,
2014-02-19,62.884761810302734,0.006502112634048096,,,,,
2014-02-20,63.656593322753906,0.022178510464267776,,,,,
2014-02-21,64.0221939086914,0.025373967785372598,,,,,
2014-02-24,67.31269073486328,0.09517511109478116,,,,,
2014-02-25,65.7690200805664,0.11578249787485606,,,,,
2014-02-26,64.55030059814453,0.08464145594918882,,,,,
2014-02-28,64.0221939086914,0.07945167593489466,,,,,
2014-03-03,63.57534408569336,0.08756059977915842,,,,,
