date,close,high,low,open,volume,symbol
2016-09-29,283.64935302734375,318.3011968747588,281.3614795810809,314.58339888809553,89058658,ICICIPRULI
2016-09-30,295.7560729980469,297.80562578384536,279.35959252787757,283.50637970819446,12045593,ICICIPRULI
2016-10-03,295.2317199707031,299.09250400315324,292.9438177821114,298.2822077356841,3169557,ICICIPRULI
2016-10-04,290.0364074707031,295.0887966871739,289.32144508581234,294.5168500527764,3173993,ICICIPRULI
2016-10-05,299.0925598144531,300.28416363841507,289.8933841118448,290.75133304671937,5485589,ICICIPRULI
2016-10-06,301.76165771484375,307.7196751953286,299.3307982195588,300.1410944152812,5753209,ICICIPRULI
2016-10-07,302.42901611328125,304.76457097927965,300.713118438755,303.143978326315,1009789,ICICIPRULI
2016-10-10,309.4356384277344,311.6758590847806,303.23929951226665,304.1925824223386,3482805,ICICIPRULI
2016-10-13,302.71502685546875,313.34415634591807,300.99912896841454,306.9571481483119,3088238,ICICIPRULI
2016-10-14,312.05718994140625,313.3917802976804,304.2402578531196,304.7645809482941,2771778,ICICIPRULI
2016-10-17,312.2955017089844,316.2039676407668,309.05434548209905,312.6768090724026,2153353,ICICIPRULI
2016-10-18,315.4413757324219,317.4432760846675,313.10584956471183,313.82081189823583,2774228,ICICIPRULI
2016-10-19,309.7216491699219,316.91895346765824,308.8637002653404,316.1086570775966,1227049,ICICIPRULI
2016-10-20,308.8636474609375,314.0113691002429,307.48137567350983,310.6748790813748,946203,ICICIPRULI
2016-10-21,311.58056640625,314.0114265134106,307.95807341116245,309.6740003325901,1122150,ICICIPRULI
2016-10-24,308.76837158203125,314.44041732046185,308.0057567849485,312.5338512358653,684940,ICICIPRULI
2016-10-25,309.0066833496094,312.6768287740237,308.05340033505445,309.2450041032481,964425,ICICIPRULI
2016-10-26,305.4318542480469,310.198269043091,304.38323717475976,308.8160262076605,940792,ICICIPRULI
2016-10-27,299.4261779785156,305.09819402976,297.710251227337,305.09819402976,1243528,ICICIPRULI
2016-10-28,294.1831970214844,299.66457534104967,292.6579381054874,298.3776372215555,1188812,ICICIPRULI
2016-11-01,296.7569885253906,300.71313627905863,295.56538476630715,298.28224715539517,1028849,ICICIPRULI
2016-11-02,293.1140441894531,297.7636105127401,292.44296190332096,297.1884013041062,881783,ICICIPRULI
2016-11-03,291.4842834472656,295.07930435439204,289.13555400842273,292.442955689166,1243070,ICICIPRULI
2016-11-04,290.86114501953125,293.3057767286522,289.9983458748109,292.3471045108842,1157870,ICICIPRULI
2016-11-07,292.2991943359375,295.17521139255155,290.14218154347697,293.16199360165007,1228091,ICICIPRULI
2016-11-08,290.9570007324219,294.2644313889229,290.1900747065084,293.35368113384214,412371,ICICIPRULI
2016-11-09,285.73223876953125,288.3206654235058,259.8001673475314,278.0149392279856,2590826,ICICIPRULI
2016-11-10,300.7355041503906,301.8858933257368,288.5603545642407,290.4297772016678,2123137,ICICIPRULI
2016-11-11,292.2512512207031,296.90081764288385,290.04628741676737,296.90081764288385,1313176,ICICIPRULI
2016-11-15,284.9173889160156,292.395020357031,282.80829837811194,292.25122537861796,1591246,ICICIPRULI
2016-11-16,286.9305725097656,291.6760115155175,285.6843103751001,290.477671287434,1270188,ICICIPRULI
2016-11-17,281.3703308105469,289.99838184051254,280.89099464221545,287.6017009988554,1051062,ICICIPRULI
2016-11-18,273.6529846191406,283.38350136413374,272.7422343484762,282.5686241624371,899512,ICICIPRULI
2016-11-21,272.40667724609375,276.09757076206523,270.5372841645364,276.09757076206523,1285263,ICICIPRULI
2016-11-22,277.1042175292969,278.8777671414363,269.57866335448296,273.6050694739908,1209797,ICICIPRULI
2016-11-23,282.71246337890625,284.7256811168627,276.38522016948224,278.014974827913,504169,ICICIPRULI
2016-11-24,282.85626220703125,283.7670126325505,279.26124093212565,282.9042133778448,378291,ICICIPRULI
2016-11-25,291.0049743652344,295.1752048562517,283.2876738034203,283.7670099689084,827475,ICICIPRULI
2016-11-28,295.55865478515625,296.22973708951974,290.57357643972904,291.34050256783894,545827,ICICIPRULI
2016-11-29,301.11895751953125,301.8858836117508,295.4627971344357,296.13385015103904,923896,ICICIPRULI
2016-11-30,296.94873046875,301.9338378886045,295.51072208875604,301.9338378886045,527033,ICICIPRULI
2016-12-01,291.4842834472656,297.18839498911484,290.81323043174837,296.3255958226755,398945,ICICIPRULI
2016-12-02,286.3074645996094,290.6214897696377,285.7322553923345,290.57356785917966,530891,ICICIPRULI
2016-12-05,281.3703308105469,286.2116144081511,280.5075315588219,285.6843563255297,2962323,ICICIPRULI
2016-12-06,281.3703308105469,284.62981090392896,280.1719903897183,281.3703308105469,286857,ICICIPRULI
2016-12-07,280.55548095703125,283.2877032354473,279.93234972842845,282.3290308048705,287566,ICICIPRULI
2016-12-08,284.7735900878906,286.11575468976616,281.4182370959145,281.60998325514134,384455,ICICIPRULI
2016-12-09,282.7603454589844,287.17021368055134,281.4181811240548,285.3966937140453,490921,ICICIPRULI
2016-12-12,286.547119140625,287.8892543900188,282.3289672469499,282.8083033543301,1858187,ICICIPRULI
2016-12-13,285.828125,286.5471291862769,283.23972748321637,286.4512561101689,448043,ICICIPRULI
2016-12-14,284.9173889160156,289.8065937201814,283.76697057600387,284.43805281706966,828122,ICICIPRULI
2016-12-15,297.81158447265625,299.00992500993266,282.808366797228,283.7670392270491,2601377,ICICIPRULI
2016-12-16,297.71563720703125,299.1057235864971,293.0661004858496,297.1404572975246,1466142,ICICIPRULI
2016-12-19,302.46112060546875,304.8098795203206,295.27107811880944,297.1884227819186,3045917,ICICIPRULI
2016-12-20,305.0974426269531,306.6792459833316,299.5850772063562,300.8313394249925,1832659,ICICIPRULI
2016-12-21,303.1321716308594,306.7271925028745,301.02308101673526,305.5288522122028,717254,ICICIPRULI
2016-12-22,294.4561767578125,303.89910430434475,292.49091034103634,303.89910430434475,467785,ICICIPRULI
2016-12-23,288.2247619628906,294.2644137665904,287.60163094710873,291.5321924213227,461339,ICICIPRULI
2016-12-26,282.85626220703125,288.08103816243727,282.3769260370438,286.64302965247504,483325,ICICIPRULI
2016-12-27,283.23974609375,285.2050126294944,281.94553262214305,281.99345453516815,403888,ICICIPRULI
2016-12-28,282.9042053222656,287.3620257249424,282.37691799647894,287.3620257249424,490137,ICICIPRULI
2016-12-29,287.6975402832031,289.23142169292487,283.095896054038,283.095896054038,463260,ICICIPRULI
2016-12-30,289.7586669921875,293.3536876744727,287.6975276522813,288.51240485820324,515022,ICICIPRULI
2017-01-02,294.4082946777344,295.1752208816093,288.75213346916865,288.75213346916865,336913,ICICIPRULI
