date,close,return_1m,return_3m,return_6m,return_12m,volatility_60d,pct_from_52w_high
2022-12-29,359.38446044921875,,,,,,
2022-12-30,340.2719421386719,,,,,,
2023-01-02,348.3218994140625,,,,,,
2023-01-03,353.8531799316406,,,,,,
2023-01-04,350.3961181640625,,,,,,
2023-01-05,342.9881896972656,,,,,,
2023-01-06,341.0621032714844,,,,,,
2023-01-09,335.7283935546875,,,,,,
2023-01-10,333.3084716796875,,,,,,
2023-01-11,328.3698425292969,,,,,,
2023-01-12,324.7646179199219,,,,,,
2023-01-13,330.59222412109375,,,,,,
2023-01-16,329.65386962890625,,,,,,
2023-01-17,329.1106262207031,,,,,,
2023-01-18,328.86370849609375,,,,,,
2023-01-19,330.8885498046875,,,,,,
2023-01-20,330.3946838378906,,,,,,
2023-01-23,332.2713317871094,,,,,,
2023-01-24,336.2222595214844,,,,,,
2023-01-25,327.92535400390625,,,,,,
2023-01-27,312.5168151855469,,,,,,
2023-01-30,318.09747314453125,-0.11488250564056146,,,,,
2023-01-31,315.7763366699219,-0.07198832003247346,,,,,
2023-02-01,304.269287109375,-0.12647098094834575,,,,,
2023-02-02,304.1705322265625,-0.14040469472303763,,,,,
2023-02-03,296.4168701171875,-0.1540520720654811,,,,,
2023-02-06,304.0223388671875,-0.11360697540189613,,,,,
2023-02-07,299.38006591796875,-0.12221245618818244,,,,,
2023-02-08,301.3554992675781,-0.1023830422061407,,,,,
2023-02-09,312.9613037109375,-0.061046057024028544,,,,,
2023-02-10,314.9861145019531,-0.040758091316347556,,,,,
2023-02-13,309.4054870605469,-0.04729311634299438,,,,,
2023-02-14,310.6894836425781,-0.060203292837357814,,,,,
2023-02-15,311.2327575683594,-0.0558801632793926,,,,,
2023-02-16,313.35638427734375,-0.04786913787704472,,,,,
2023-02-17,314.2453308105469,-0.044451173260793286,,,,,
2023-02-20,311.183349609375,-0.05955237860888152,,,,,
2023-02-21,302.3926086425781,-0.08475340725836811,,,,,
2023-02-22,294.83648681640625,-0.11266348128609582,,,,,
2023-02-23,289.6015625,-0.138660352493721,,,,,
2023-02-24,292.9104309082031,-0.10677711457250127,,,,,
2023-02-27,288.91015625,-0.07553724404087236,,,,,
2023-02-28,290.7868347167969,-0.08585619419656776,,,,,
2023-03-01,289.4040222167969,-0.08351580340452092,,,,,
2023-03-02,286.63836669921875,-0.057945120184997534,,,,,
2023-03-03,289.6015625,-0.047897373949790656,,,,,
2023-03-06,295.1822204589844,-0.004165247604547617,,,,,
2023-03-08,298.0959777832031,-0.01949317640955761,,,,,
2023-03-09,297.6515197753906,-0.005773751626642176,,,,,
2023-03-10,294.04632568359375,-0.02425432289023688,,,,,
2023-03-13,289.65093994140625,-0.07448321403677927,,,,,
2023-03-14,285.35430908203125,-0.09407337039848507,,,,,
2023-03-15,286.7865295410156,-0.0731045778613002,,,,,
2023-03-16,280.1193542480469,-0.09839447745743335,,,,,
2023-03-17,277.20556640625,-0.10933036556936204,,,,,
2023-03-20,269.5013122558594,-0.13995269993500237,,,,,
2023-03-21,288.36688232421875,-0.08235109944061447,,,,,
2023-03-22,286.29266357421875,-0.07998720389892733,,,,,
2023-03-23,296.21929931640625,-0.020414881679428176,,,,,
2023-03-24,288.4656677246094,-0.021607973831827554,,,,,
2023-03-27,274.5881042480469,-0.05184177226928166,,,,0.33580056876969944,
2023-03-28,272.71142578125,-0.06895966478327087,,,,0.32002108633813886,
2023-03-29,276.8598327636719,-0.041709587654304325,,,,0.31741925873597454,
2023-03-31,276.81048583984375,-0.04806389838991498,-0.2297650112811228,,,0.31490094085532927,
2023-04-03,282.24298095703125,-0.024744097213691085,-0.17053701465045257,,,0.3183012105967382,
2023-04-05,279.1809997558594,-0.026016639116509754,-0.19849713662709711,,,0.3165451463427037,
2023-04-06,282.5392761230469,-0.02438621641398475,-0.20153529162114803,,,0.31803909663779323,
2023-04-10,278.0945129394531,-0.05788867463955405,-0.20634248348252626,,,0.3180550112373302,
2023-04-11,277.20556640625,-0.07007948088499916,-0.19179267761108,,,0.3179311875126434,
2023-04-12,287.9718017578125,-0.032520304364252794,-0.15566168449800522,,,0.32817088441597236,
2023-04-13,292.4659729003906,-0.005374502740441156,-0.1288613697406853,,,0.3295756204448868,
2023-04-17,286.3914489746094,-0.011253168960736804,-0.14076156681119645,,,0.32935327771415135,
2023-04-18,291.5276184082031,0.021633839510015074,-0.11219734381608659,,,0.3319168346967477,
2023-04-19,289.5027770996094,0.009471321972273072,-0.10857660864093,,,0.33208178676119215,
2023-04-20,292.4659729003906,0.044076278433123894,-0.11532712640796339,,,0.3330090568312962,
2023-04-21,293.5524597167969,0.05897029241682028,-0.10951307792245546,,,0.3327993145450917,
2023-04-24,305.7508850097656,0.13450610852496192,-0.07097838644466115,,,0.3444463076983607,
2023-04-25,311.183349609375,0.07912305012717469,-0.053761964090144554,,,0.3463422581812338,
2023-04-26,316.9615783691406,0.10712434755412881,-0.042089614293899014,,,0.3476601552961847,
2023-04-27,310.83770751953125,0.04934995200130543,-0.059192769360523645,,,0.34625598617279746,
